estrutura-linguagem tempo tamanho_da_entrada
linkedlist-cpp 11400 9402
linkedlist-cpp 7400 7061
linkedlist-cpp 5300 5860
linkedlist-cpp 2700 3618
linkedlist-cpp 3300 3607
linkedlist-cpp 2500 3431
linkedlist-cpp 11400 6377
linkedlist-cpp 3600 4910
linkedlist-cpp 7100 8432
linkedlist-cpp 3500 4341
linkedlist-cpp 1300 1694
linkedlist-cpp 8800 9256
linkedlist-cpp 4600 5005
linkedlist-cpp 1700 2212
linkedlist-cpp 2700 3416
linkedlist-cpp 1900 2459
linkedlist-cpp 2200 2991
linkedlist-cpp 5100 5285
linkedlist-cpp 4500 5200
linkedlist-cpp 11000 9613
linkedlist-cpp 3400 3932
linkedlist-cpp 11300 9082
linkedlist-cpp 1600 2087
linkedlist-cpp 1000 1409
linkedlist-cpp 4700 5903
linkedlist-cpp 5200 4624
linkedlist-cpp 9200 7785
linkedlist-cpp 3300 2710
linkedlist-cpp 10000 8146
linkedlist-cpp 8200 9257
linkedlist-cpp 3500 4518
linkedlist-cpp 4700 5660
linkedlist-cpp 6000 6788
linkedlist-cpp 6100 7293
linkedlist-cpp 8400 7844
linkedlist-cpp 10200 8789
linkedlist-cpp 2900 3722
linkedlist-cpp 5400 5951
linkedlist-cpp 3300 4168
linkedlist-cpp 11600 9948
linkedlist-cpp 2200 2981
linkedlist-cpp 1400 1908
linkedlist-cpp 1800 2334
linkedlist-cpp 8600 8945
linkedlist-cpp 1400 1812
linkedlist-cpp 2100 2684
linkedlist-cpp 5400 6732
linkedlist-cpp 6400 7497
linkedlist-cpp 8500 9514
linkedlist-cpp 4600 5689
linkedlist-cpp 9300 8446
linkedlist-cpp 3100 3864
linkedlist-cpp 6200 7292
linkedlist-cpp 7300 8499
linkedlist-cpp 4700 5865
linkedlist-cpp 1100 1333
linkedlist-cpp 6800 7629
linkedlist-cpp 2400 2973
linkedlist-cpp 6200 5417
linkedlist-cpp 1300 1617
linkedlist-cpp 2000 2620
linkedlist-cpp 4200 4600
linkedlist-cpp 10400 9109
linkedlist-cpp 4800 5446
linkedlist-cpp 2200 2644
linkedlist-cpp 2900 3884
linkedlist-cpp 1700 2231
linkedlist-cpp 2400 2961
linkedlist-cpp 8900 8076
linkedlist-cpp 2900 3590
linkedlist-cpp 1200 1576
linkedlist-cpp 7200 8023
linkedlist-cpp 2800 3523
linkedlist-cpp 2000 2628
