estrutura_linguagem tempo tamanho
linkedlist-cpp 9200 6839
linkedlist-cpp 9300 6915
linkedlist-cpp 7800 5176
linkedlist-cpp 17500 9486
linkedlist-cpp 16400 9398
linkedlist-cpp 9100 6216
linkedlist-cpp 12700 7587
linkedlist-cpp 5100 3476
linkedlist-cpp 12500 8259
linkedlist-cpp 14300 8378
linkedlist-cpp 5300 3526
linkedlist-cpp 14700 9004
linkedlist-cpp 6500 4398
linkedlist-cpp 6100 4530
linkedlist-cpp 15400 8750
linkedlist-cpp 9600 6536
linkedlist-cpp 11400 8396
linkedlist-cpp 7700 5018
linkedlist-cpp 7200 5428
linkedlist-cpp 2300 1514
linkedlist-cpp 12600 7922
linkedlist-cpp 7200 4871
linkedlist-cpp 8000 5353
linkedlist-cpp 8700 6245
linkedlist-cpp 4500 3066
linkedlist-cpp 11200 7247
linkedlist-cpp 6200 4427
linkedlist-cpp 10600 6962
linkedlist-cpp 11900 8557
linkedlist-cpp 17700 9994
linkedlist-cpp 4300 2922
linkedlist-cpp 9100 6884
linkedlist-cpp 13900 8031
linkedlist-cpp 6100 4244
linkedlist-cpp 2400 1532
linkedlist-cpp 7200 4633
linkedlist-cpp 10800 7063
linkedlist-cpp 9500 5906
linkedlist-cpp 8900 6428
linkedlist-cpp 8500 5541
linkedlist-cpp 10300 6624
linkedlist-cpp 12200 8027
linkedlist-cpp 4100 2662
linkedlist-cpp 6400 4614
linkedlist-cpp 12500 7372
linkedlist-cpp 9500 6217
linkedlist-cpp 8500 6316
linkedlist-cpp 6000 4201
linkedlist-cpp 14500 8771
linkedlist-cpp 10300 6882
linkedlist-cpp 18500 9609
linkedlist-cpp 3700 2562
linkedlist-cpp 1800 1195
linkedlist-cpp 8100 5647
linkedlist-cpp 8400 5194
linkedlist-cpp 7300 4746
linkedlist-cpp 4000 2664
linkedlist-cpp 17500 9475
linkedlist-cpp 7600 5264
linkedlist-cpp 3200 2019
linkedlist-cpp 15300 8726
linkedlist-cpp 2900 1971
linkedlist-cpp 9500 6949
linkedlist-cpp 12100 7775
linkedlist-cpp 9900 6088
linkedlist-cpp 15400 9084
linkedlist-cpp 7200 4926
linkedlist-cpp 5400 3839
linkedlist-cpp 11900 7371
linkedlist-cpp 13600 8285
linkedlist-cpp 9400 6303
linkedlist-cpp 13100 8393
linkedlist-cpp 6900 4514
linkedlist-cpp 5400 3759
linkedlist-cpp 3100 2039
linkedlist-cpp 156700 88116
linkedlist-cpp 168300 92921
linkedlist-cpp 151500 94815
linkedlist-cpp 64800 34807
linkedlist-cpp 53200 29029
linkedlist-cpp 27200 15214
linkedlist-cpp 104300 57784
linkedlist-cpp 54800 29693
linkedlist-cpp 39700 22290
linkedlist-cpp 28500 16963
linkedlist-cpp 27500 16084
linkedlist-cpp 39100 21963
linkedlist-cpp 66500 39890
linkedlist-cpp 35500 20289
linkedlist-cpp 71500 41119
linkedlist-cpp 55700 31792
linkedlist-cpp 137800 73440
linkedlist-cpp 34900 20791
linkedlist-cpp 19800 11649
linkedlist-cpp 36900 22303
linkedlist-cpp 157700 84226
linkedlist-cpp 155300 91279
linkedlist-cpp 91600 54100
linkedlist-cpp 42300 24451
linkedlist-cpp 158800 94794
linkedlist-cpp 28400 16495
linkedlist-cpp 130700 72528
linkedlist-cpp 130500 73940
linkedlist-cpp 67700 40641
linkedlist-cpp 82200 47763
linkedlist-cpp 128700 78324
linkedlist-cpp 23900 12719
linkedlist-cpp 179900 98543
linkedlist-cpp 54100 30729
linkedlist-cpp 157200 94398
linkedlist-cpp 62000 38279
linkedlist-cpp 104100 59336
linkedlist-cpp 43700 23833
linkedlist-cpp 133400 84849
linkedlist-cpp 161700 93919
linkedlist-cpp 37400 22112
linkedlist-cpp 31800 18174
linkedlist-cpp 107600 65465
linkedlist-cpp 136000 77525
linkedlist-cpp 123500 72063
linkedlist-cpp 140100 76121
linkedlist-cpp 166600 90432
linkedlist-cpp 54300 28559
linkedlist-cpp 116900 71413
linkedlist-cpp 97600 59177
linkedlist-cpp 110900 58879
linkedlist-cpp 55000 32956
linkedlist-cpp 160300 99216
linkedlist-cpp 147600 87144
linkedlist-cpp 112600 67440
linkedlist-cpp 151500 85921
linkedlist-cpp 70400 38325
linkedlist-cpp 69400 37434
linkedlist-cpp 146100 86359
linkedlist-cpp 39500 21820
linkedlist-cpp 99100 59534
linkedlist-cpp 21800 11862
linkedlist-cpp 86900 53863
linkedlist-cpp 31400 19627
linkedlist-cpp 34200 20304
linkedlist-cpp 154100 87069
linkedlist-cpp 155400 91995
linkedlist-cpp 150300 88973
linkedlist-cpp 123500 70146
linkedlist-cpp 154800 90078
linkedlist-cpp 65000 39560
linkedlist-cpp 58200 35574
linkedlist-cpp 129200 73431
linkedlist-cpp 158600 90928
linkedlist-cpp 113500 68307
linkedlist-cpp 93000 55426
linkedlist-cpp 42400 23758
linkedlist-cpp 132900 80613
linkedlist-cpp 89100 50182
linkedlist-cpp 132000 77762
linkedlist-cpp 163300 95768
linkedlist-cpp 41100 24370
linkedlist-cpp 123200 75333
linkedlist-cpp 173400 94443
linkedlist-cpp 82500 50942
linkedlist-cpp 80300 45933
linkedlist-cpp 148600 86422
linkedlist-cpp 100300 60928
linkedlist-cpp 147800 84846
linkedlist-cpp 131000 76241
linkedlist-cpp 36500 21664
linkedlist-cpp 179300 99439
linkedlist-cpp 166600 94529
linkedlist-cpp 45800 24869
linkedlist-cpp 78600 44671
linkedlist-cpp 65100 37773
linkedlist-cpp 17900 10449
linkedlist-cpp 23900 12808
linkedlist-cpp 23700 14435
linkedlist-cpp 167000 88177
linkedlist-cpp 1547600 727791
linkedlist-cpp 885100 494488
linkedlist-cpp 994900 529508
linkedlist-cpp 175800 106007
linkedlist-cpp 417100 250829
linkedlist-cpp 185200 105348
linkedlist-cpp 2085700 825811
linkedlist-cpp 1515900 729912
linkedlist-cpp 341600 192624
linkedlist-cpp 1187000 614031
linkedlist-cpp 1561400 717777
linkedlist-cpp 2726900 894757
linkedlist-cpp 337900 186447
linkedlist-cpp 770600 421717
linkedlist-cpp 442300 255469
linkedlist-cpp 789100 470719
linkedlist-cpp 1986600 769532
linkedlist-cpp 2362000 855053
linkedlist-cpp 2392300 826011
linkedlist-cpp 1051000 568605
linkedlist-cpp 628100 359668
linkedlist-cpp 212800 130833
linkedlist-cpp 1940900 772596
linkedlist-cpp 643600 382131
linkedlist-cpp 2164900 834656
linkedlist-cpp 186900 111581
linkedlist-cpp 1336700 662816
linkedlist-cpp 2865000 929594
linkedlist-cpp 1809700 760871
linkedlist-cpp 2736600 947797
linkedlist-cpp 1302500 610611
linkedlist-cpp 2134400 825612
linkedlist-cpp 3065400 953927
linkedlist-cpp 1003200 544294
linkedlist-cpp 821600 452625
linkedlist-cpp 1730600 719291
