estrutura_linguagem tempo tamanho
linkedlist-cpp 78100 84226
linkedlist-cpp 78300 91279
linkedlist-cpp 46900 54100
linkedlist-cpp 19200 24451
linkedlist-cpp 80700 94794
linkedlist-cpp 11700 16495
linkedlist-cpp 63400 72528
linkedlist-cpp 67200 73940
linkedlist-cpp 33200 40641
linkedlist-cpp 42100 47763
linkedlist-cpp 65700 78324
linkedlist-cpp 8600 12719
linkedlist-cpp 88200 98543
linkedlist-cpp 24600 30729
linkedlist-cpp 83300 94398
linkedlist-cpp 30500 38279
linkedlist-cpp 51900 59336
linkedlist-cpp 18100 23833
linkedlist-cpp 70400 84849
linkedlist-cpp 80100 93919
linkedlist-cpp 15300 22112
linkedlist-cpp 13100 18174
linkedlist-cpp 54100 65465
linkedlist-cpp 70000 77525
linkedlist-cpp 62400 72063
linkedlist-cpp 67300 76121
linkedlist-cpp 83500 90432
linkedlist-cpp 22100 28559
linkedlist-cpp 61500 71413
linkedlist-cpp 49900 59177
linkedlist-cpp 54800 58879
linkedlist-cpp 26200 32956
linkedlist-cpp 88100 99216
linkedlist-cpp 71700 87144
linkedlist-cpp 60300 67440
linkedlist-cpp 75800 85921
linkedlist-cpp 32600 38325
linkedlist-cpp 33000 37434
linkedlist-cpp 78400 86359
linkedlist-cpp 15700 21820
linkedlist-cpp 50900 59534
linkedlist-cpp 8100 11862
linkedlist-cpp 44400 53863
linkedlist-cpp 13900 19627
linkedlist-cpp 14300 20304
linkedlist-cpp 78200 87069
linkedlist-cpp 77300 91995
linkedlist-cpp 77600 88973
linkedlist-cpp 69800 70146
linkedlist-cpp 77400 90078
linkedlist-cpp 33800 39560
linkedlist-cpp 27800 35574
linkedlist-cpp 66400 73431
linkedlist-cpp 81200 90928
linkedlist-cpp 59500 68307
linkedlist-cpp 48700 55426
linkedlist-cpp 17300 23758
linkedlist-cpp 69400 80613
linkedlist-cpp 47300 50182
linkedlist-cpp 65400 77762
linkedlist-cpp 87900 95768
linkedlist-cpp 19500 24370
linkedlist-cpp 63000 75333
linkedlist-cpp 84700 94443
linkedlist-cpp 40800 50942
linkedlist-cpp 40800 45933
